antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})",0.0218436873747495,0.021192384769539076,0.0156813627254509,0.7178899082568807,33.874899689851866,1.0,0.015218442897819687,3.469594473499845,0.9921518727176448,0.5732600732600732,0.7117818789377764,0.7289213134665018
"frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.021192384769539076,0.0218436873747495,0.0156813627254509,0.739952718676123,33.874899689851866,1.0,0.015218442897819687,3.761455638549828,0.9914916907887239,0.5732600732600732,0.734145475557028,0.7289213134665018
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.04909819639278557,0.052655310621242485,0.03206412825651302,0.6530612244897959,12.402570923707255,1.0,0.029478847474508133,2.730581751738771,0.9668417413066386,0.4601006470165349,0.6337776741666046,0.6310025437387133
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.052655310621242485,0.04909819639278557,0.03206412825651302,0.6089438629876308,12.402570923707255,1.0,0.029478847474508133,2.431624806791198,0.9704720635676134,0.4601006470165349,0.5887523448489521,0.6310025437387133
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.039228456913827654,0.052655310621242485,0.023547094188376753,0.6002554278416348,11.399712977848743,1.0,0.02148150760438713,2.3698750536216204,0.9495269710280158,0.34457478005865105,0.5780368258352652,0.523724288611588
"frozenset({'ALARM CLOCK BAKELIKE GREEN', 'ALARM CLOCK BAKELIKE PINK'})",frozenset({'ALARM CLOCK BAKELIKE RED '}),0.02094188376753507,0.052655310621242485,0.0156813627254509,0.7488038277511961,14.220860515617389,1.0,0.014578661330677386,3.771334096764958,0.949566478099272,0.27076124567474047,0.7348418426100732,0.5233077178717922
"frozenset({'ALARM CLOCK BAKELIKE PINK', 'ALARM CLOCK BAKELIKE RED '})",frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.023547094188376753,0.04909819639278557,0.0156813627254509,0.6659574468085107,13.563786365610074,1.0,0.01452524287051056,2.84664871143561,0.9486113137399863,0.27528583992963934,0.6487097280451988,0.49267260095527576
"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'WOODEN FRAME ANTIQUE WHITE '})",frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.016983967935871744,0.05511022044088176,0.01092184368737475,0.6430678466076696,11.668758380262805,1.0,0.00998585347046799,2.6472531840540583,0.9300978309609298,0.17854217854217855,0.6222499585519133,0.4206248323947439
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.037124248496993986,0.11302605210420842,0.024799599198396794,0.6680161943319839,5.910285123610992,1.0,0.020603591953445972,2.6717385991495193,0.8628355462634042,0.19784172661870505,0.6257118865152733,0.4437155439745026
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.06102204408817635,0.10465931863727455,0.04133266533066132,0.6773399014778325,6.4718546833401325,1.0,0.03494613977453906,2.77487264605547,0.900430923254528,0.3323932312651087,0.6396231007496803,0.5361328516484424
"frozenset({'LUNCH BAG RED RETROSPOT', 'JUMBO BAG PINK POLKADOT'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.016182364729458918,0.10465931863727455,0.012474949899799598,0.7708978328173374,7.365783026823386,1.0,0.010781314633274565,3.908041082164327,0.8784525482896091,0.11511789181692093,0.744117326564493,0.4450468101377256
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.0593186372745491,0.10465931863727455,0.03627254509018036,0.6114864864864864,5.842637755036031,1.0,0.030064296930534414,2.304529058116232,0.8811107161605153,0.2840329540996469,0.5660718633691606,0.4790318981020273
"frozenset({'JUMBO STORAGE BAG SUKI', 'JUMBO BAG PINK POLKADOT'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.025801603206412827,0.10465931863727455,0.020691382765531063,0.8019417475728156,7.662401762352033,1.0,0.017991004554198577,4.520592655900036,0.8925210922718014,0.18849840255591055,0.7787900666752503,0.4998219987265705
"frozenset({'JUMBO STORAGE BAG SUKI', 'LUNCH BAG RED RETROSPOT'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.017134268537074147,0.10465931863727455,0.012024048096192385,0.7017543859649124,6.70513046618461,1.0,0.010230787225754113,3.0020246375103157,0.8656934957691915,0.10953902327704244,0.6668914746717951,0.40832094597431834
"frozenset({'JUMBO STORAGE BAG SUKI', 'WHITE HANGING HEART T-LIGHT HOLDER'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.015230460921843688,0.10465931863727455,0.01062124248496994,0.6973684210526316,6.663223400770956,1.0,0.009027232822358143,2.958517034068137,0.8630674008032497,0.09720311783585511,0.6619928198875568,0.399426192335794
frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.046743486973947895,0.10465931863727455,0.02930861723446894,0.6270096463022509,5.990958611868323,1.0,0.024416475737045234,2.400439240550066,0.8739324549594166,0.24004924086992208,0.5834095764195024,0.4535239710687894
"frozenset({'JUMBO  BAG BAROQUE BLACK WHITE', 'JUMBO STORAGE BAG SUKI'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.021142284569138275,0.10465931863727455,0.01593186372745491,0.7535545023696683,7.200070783771459,1.0,0.013719126630013534,3.633016995529521,0.8797115892848061,0.14500683994528044,0.7247466771472542,0.4528902238990514
"frozenset({'JUMBO  BAG BAROQUE BLACK WHITE', 'JUMBO BAG PINK POLKADOT'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.020741482965931864,0.10465931863727455,0.01628256513026052,0.7850241545893719,7.50075736026992,1.0,0.014111775655519455,4.164843169485036,0.8850371116655777,0.14921946740128558,0.7598949205754498,0.47030049280449926
"frozenset({'JUMBO  BAG BAROQUE BLACK WHITE', 'JUMBO BAG RED RETROSPOT', 'JUMBO STORAGE BAG SUKI'})",frozenset({'JUMBO BAG PINK POLKADOT'}),0.01593186372745491,0.06102204408817635,0.01032064128256513,0.6477987421383647,10.615815183154155,1.0,0.009348446391781558,2.666026696249642,0.9204656556240196,0.15488721804511277,0.6249099825569182,0.4084642314961118
"frozenset({'JUMBO  BAG BAROQUE BLACK WHITE', 'JUMBO BAG RED RETROSPOT', 'JUMBO BAG PINK POLKADOT'})",frozenset({'JUMBO STORAGE BAG SUKI'}),0.01628256513026052,0.0593186372745491,0.01032064128256513,0.6338461538461538,10.685446985446985,1.0,0.009354781707703985,2.569087755342618,0.9214178169061095,0.158096699923254,0.6107567762446331,0.4039163201663202
"frozenset({'JUMBO  BAG BAROQUE BLACK WHITE', 'JUMBO STORAGE BAG SUKI', 'JUMBO BAG PINK POLKADOT'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.011823647294589179,0.10465931863727455,0.01032064128256513,0.8728813559322033,8.340216306561405,1.0,0.009083186412905972,7.043346693386768,0.8906295223600247,0.097215667767815,0.8580220393042794,0.4857465659507833
"frozenset({'JUMBO  BAG BAROQUE BLACK WHITE', 'JUMBO BAG RED RETROSPOT', 'JUMBO SHOPPER VINTAGE RED PAISLEY'})",frozenset({'JUMBO BAG PINK POLKADOT'}),0.015581162324649298,0.06102204408817635,0.010220440881763528,0.6559485530546625,10.749370376823533,1.0,0.009269646507443746,2.729178918584834,0.9213266353923116,0.1539622641509434,0.6335894311690888,0.41171811889186327
"frozenset({'JUMBO  BAG BAROQUE BLACK WHITE', 'JUMBO BAG RED RETROSPOT', 'JUMBO BAG PINK POLKADOT'})",frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),0.01628256513026052,0.05886773547094189,0.010220440881763528,0.6276923076923078,10.662756137479542,1.0,0.009261923144886969,2.527834594809454,0.9212153667170968,0.1574074074074074,0.6044044962224361,0.40065466448445175
"frozenset({'JUMBO  BAG BAROQUE BLACK WHITE', 'JUMBO SHOPPER VINTAGE RED PAISLEY', 'JUMBO BAG PINK POLKADOT'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.012074148296593186,0.10465931863727455,0.010220440881763528,0.8464730290456433,8.087889736596955,1.0,0.008956768747916675,5.831813627254513,0.8870689560879375,0.09595484477892756,0.82852675618326,0.47206370456590446
"frozenset({'JUMBO  BAG BAROQUE BLACK WHITE', 'JUMBO SHOPPER VINTAGE RED PAISLEY'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.021092184368737475,0.10465931863727455,0.015581162324649298,0.7387173396674585,7.058304499646946,1.0,0.013373668680045461,3.4267129713973405,0.8768168996330037,0.14142792178262845,0.7081751496705541,0.4437961997523506
"frozenset({'JUMBO  BAG BAROQUE BLACK WHITE', 'JUMBO BAG RED RETROSPOT', 'JUMBO STORAGE BAG SUKI'})",frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),0.01593186372745491,0.05886773547094189,0.010120240480961924,0.6352201257861635,10.790632945269635,1.0,0.009182367741495013,2.580000518277935,0.9220164710697726,0.15646785437645236,0.6124031786367753,0.4035675097015924
"frozenset({'JUMBO  BAG BAROQUE BLACK WHITE', 'JUMBO BAG RED RETROSPOT', 'JUMBO SHOPPER VINTAGE RED PAISLEY'})",frozenset({'JUMBO STORAGE BAG SUKI'}),0.015581162324649298,0.0593186372745491,0.010120240480961924,0.6495176848874599,10.949639349960893,1.0,0.009195987164710182,2.683962420253351,0.9230550618805584,0.1562258313998453,0.6274165418807892,0.410062896497784
"frozenset({'JUMBO  BAG BAROQUE BLACK WHITE', 'JUMBO STORAGE BAG SUKI', 'JUMBO SHOPPER VINTAGE RED PAISLEY'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.012274549098196393,0.10465931863727455,0.010120240480961924,0.8244897959183674,7.87784410078057,1.0,0.008835594535764917,5.101359696136459,0.8839113305193061,0.0947467166979362,0.803973830593174,0.46059339006066763
"frozenset({'JUMBO  BAG BAROQUE BLACK WHITE', 'JUMBO BAG APPLES'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.014228456913827655,0.10465931863727455,0.010370741482965932,0.7288732394366197,6.964245983319737,1.0,0.008881600877104911,3.3022955000910916,0.8687707037583736,0.09556786703601108,0.6971803401687052,0.41398185667379095
"frozenset({'JUMBO BAG PINK POLKADOT', 'JUMBO BAG PINK VINTAGE PAISLEY'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.018987975951903806,0.10465931863727455,0.014779559118236472,0.7783641160949868,7.4371219517740235,1.0,0.012792290492809265,4.039691883767535,0.8822923293853693,0.13575701794753794,0.7524563682645592,0.45979000443332396
"frozenset({'JUMBO BAG PINK POLKADOT', 'JUMBO BAG PINK VINTAGE PAISLEY'})",frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),0.018987975951903806,0.05886773547094189,0.011673346693386773,0.6147757255936676,10.443339134340087,1.0,0.010555567547921493,2.4430762209350205,0.9217473012399469,0.17638152914458738,0.5906799831168275,0.40653679896704653
"frozenset({'JUMBO STORAGE BAG SUKI', 'JUMBO BAG PINK VINTAGE PAISLEY'})",frozenset({'JUMBO BAG PINK POLKADOT'}),0.018336673346693387,0.06102204408817635,0.011172344689378758,0.6092896174863388,9.984746112501908,1.0,0.010053403399986345,2.4032582647813108,0.9166556431890241,0.16385011021307863,0.5838982373827405,0.39618832270047644
"frozenset({'JUMBO STORAGE BAG SUKI', 'JUMBO BAG PINK VINTAGE PAISLEY'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.018336673346693387,0.10465931863727455,0.013476953907815632,0.7349726775956285,7.022524961612611,1.0,0.01155785016927643,3.3782957667913154,0.8736203670572094,0.12305580969807868,0.7039927617261902,0.4318712119428597
